,GHI,DNI,DHI,Temperature,Humidity,Pressure,WindSpeed,WindDirection,SolarElevation
2020-01-01 00:00:00,138.21263746404944,339.2197948393156,64.56305067511202,5.682991789503473,75.2315203269349,910.6694180124044,4.966566001505083,186.04221393036164,-56.96963342240514
2020-01-01 01:00:00,138.21263746404944,339.2197948393156,64.56305067511202,5.682991789503473,75.2315203269349,910.6694180124044,4.966566001505083,186.04221393036164,-44.640904189845884
2020-01-01 02:00:00,138.21263746404944,339.2197948393156,64.56305067511202,5.682991789503473,75.2315203269349,910.6694180124044,4.966566001505083,186.04221393036164,-32.282925746267594
2020-01-01 03:00:00,138.21263746404944,339.2197948393156,64.56305067511202,5.682991789503473,75.2315203269349,910.6694180124044,4.966566001505083,186.04221393036164,-20.131418262581875
2020-01-01 04:00:00,138.21263746404944,339.2197948393156,64.56305067511202,5.682991789503473,75.2315203269349,910.6694180124044,4.966566001505083,186.04221393036164,-8.384466559178701
2020-01-01 05:00:00,138.21263746404944,339.2197948393156,64.56305067511202,5.682991789503473,75.2315203269349,910.6694180124044,4.966566001505083,186.04221393036164,2.936185887577786
2020-01-01 06:00:00,283.82724933215155,805.3387188386507,56.9375820420573,6.38851076292682,73.75813019648005,910.7586925276892,4.614442145206146,182.98972449035372,12.920890526376953
2020-01-01 07:00:00,444.6053166666667,917.3369223396234,66.90087656496922,8.343618833333332,71.653685,910.4610166666666,4.699061833333333,199.46255,21.594143435822875
2020-01-01 08:00:00,536.3658833333334,887.5199751445062,95.31621140057592,9.467253666666666,71.131815,909.8201666666666,8.229164666666668,214.2398,28.21075205415274
2020-01-01 09:00:00,613.8082895004067,945.8613571931916,130.17060357356343,10.311338666666666,66.21532166666667,909.3873666666666,7.517671833333334,206.02263333333332,32.028453956930946
2020-01-01 10:00:00,438.9572365457203,460.85765265852285,211.8900131314364,10.468783333333333,64.14530666666667,908.6898850877192,8.005098,201.77021666666667,32.475003719623906
2020-01-01 11:00:00,317.61945000000003,190.4919751110271,240.68059320931297,10.397211666666664,62.668155,908.3422833333332,7.491494,203.45515,29.47453014405206
2020-01-01 12:00:00,344.78998333333334,493.0006143366028,196.0984981225078,10.668873333333332,63.82932,908.4702333333332,7.109753833333333,204.1071,23.49968512059637
2020-01-01 13:00:00,117.02783166666669,123.06681645287986,93.05431034787112,9.710487,70.42236,908.8409666666666,5.629614500000001,201.11221666666668,15.280098775690083
2020-01-01 14:00:00,7.781421666666666,11.671527336741864,7.046736052629181,8.728932333333335,76.91737833333333,909.0167,4.742811333333334,203.67838333333333,5.5396799173428235
2020-01-01 15:00:00,0.0,0.0,0.0,8.184800833333334,76.91037166666666,909.1901833333334,5.672388166666667,197.48773333333327,-5.491189409012488
2020-01-01 16:00:00,0.0,0.0,0.0,7.900806,78.00798833333333,909.7001,4.159462,183.5818,-17.100305898821173
2020-01-01 17:00:00,0.0,0.0,0.0,7.666975333333334,78.27888833333333,909.7337333333332,4.082718,176.7574,-29.167917246659165
2020-01-01 18:00:00,0.0,0.0,0.0,7.305960166666667,77.37825833333333,909.8066833333334,5.448085833333334,191.79611666666668,-41.49085525463595
2020-01-01 19:00:00,0.0,0.0,0.0,7.179683166666666,77.60637166666667,909.6717737827717,5.210826166666666,188.45228333333336,-53.85290731322704
2020-01-01 20:00:00,0.0,0.0,0.0,6.7176,80.26928500000001,909.2334833333332,4.838892833333333,189.70731666666669,-65.85417743677948
2020-01-01 21:00:00,0.0,0.0,0.0,6.614863,80.80654,908.8567333333334,5.394844,188.63311666666667,-76.01338773926022
2020-01-01 22:00:00,0.0,0.0,0.0,7.1631175,77.01247833333333,908.4686833333332,6.006096333333333,193.19441666666668,-77.71374574258583
2020-01-01 23:00:00,0.0,0.0,0.0,7.088320666666666,75.41207166666666,908.2374333333332,4.982061833333334,187.83801666666668,-68.79251620096116
2020-01-02 00:00:00,0.0,0.0,0.0,7.265395666666667,69.62109333333333,907.8537333333334,4.1391583333333335,158.05966666666666,-57.02825229317752
2020-01-02 01:00:00,0.0,0.0,0.0,7.060981999999999,72.13426,908.1055818944844,3.717341666666667,177.99571666666668,-44.70325436710841
2020-01-02 02:00:00,0.0,0.0,0.0,5.066256,85.11997666666666,908.1035666666668,3.8634516666666663,200.9638,-32.343070130245664
2020-01-02 03:00:00,0.0,0.0,0.0,5.918335166666666,81.82578333333332,908.3924666666668,3.358207166666667,194.88831666666664,-20.185685409504256
2020-01-02 04:00:00,3.7073911666666666,0.251867913946283,3.977880375548345,6.2628395,81.778125,908.8021833333332,3.2309503333333334,201.96041666666667,-8.429610898118051
2020-01-02 05:00:00,54.16359166666667,15.473186642829017,58.17073193671762,6.689112166666666,81.26067666666667,908.9917,2.853131333333333,189.71371666666667,2.9052010369012504
2020-01-02 06:00:00,175.81578333333334,35.540914363400326,172.41475613551373,6.5136885,83.57896000000001,909.4682166666666,3.05944515,124.389788,12.905578444665375
2020-01-02 07:00:00,213.82696666666664,17.932225768141056,217.05218123361203,6.0424595000000005,88.61626833333334,910.1069333333332,1.74492935,85.15736666666666,21.600967612008898
2020-01-02 08:00:00,234.43355000000005,7.986812076981846,242.6273608189479,6.608804833333333,87.55530833333334,910.0667833333332,1.9553673333333332,157.95378833333334,28.245000566672427
2020-01-02 09:00:00,302.4556333333333,35.96337219240442,297.9492227712224,6.786490166666667,88.90795166666666,909.6931166666668,1.7476695,168.7807101666667,32.093216608131
2020-01-02 10:00:00,242.42516666666668,5.728163863055422,245.49221188780209,7.518990166666667,83.07294833333334,909.2621,2.613466766666667,216.32305766666667,32.56842976807786
2020-01-02 11:00:00,198.8808666666667,3.1819922157347595,202.0208702241637,7.9509055,78.96590666666665,909.0442666666668,5.966048,201.4522,29.58969684079846
2020-01-02 12:00:00,174.81963333333334,24.291621529891597,175.4902807551105,7.868515333333334,79.04187333333333,909.20845,6.154749666666667,197.23251666666664,23.628068950648014
2020-01-02 13:00:00,138.41768666666667,239.3998059808025,99.70429993143468,7.990799999999999,76.79095000000001,909.123703091526,7.645840166666667,198.24291666666667,15.414767269982704
2020-01-02 14:00:00,13.679432333333333,8.301597288085652,13.321961135042176,7.543195,81.04591666666667,909.25595,7.844745666666666,195.33646666666667,5.67454513751078
2020-01-02 15:00:00,0.0,0.0,0.0,7.288265166666666,80.66472166666668,910.0778666666666,3.9897965,185.20151666666663,-5.353579741804877
2020-01-02 16:00:00,0.0,0.0,0.0,7.397221333333333,79.26818166666666,910.581178747628,3.6485171666666663,199.79225233333327,-16.963560688204108
2020-01-02 17:00:00,0.0,0.0,0.0,5.396002833333333,96.59801666666668,910.77515,1.9727745,155.74390531666668,-29.032220098924608
2020-01-02 18:00:00,0.0,0.0,0.0,5.120168360411364,98.73780969032286,911.05147216492,2.104058852464575,194.98087399503777,-41.35575304797458
2020-01-02 19:00:00,12.044022583201127,21.630825774793554,7.332042673577948,5.264962852651491,97.17361502172639,911.0240384272754,2.338065377805188,194.1542191945176,-53.71723485733327
2020-01-02 20:00:00,24.088045166402253,43.26165154958711,14.664085347155895,5.409757344891618,95.60942035312992,910.9966046896309,2.572071903145801,193.32756439399742,-65.71620707704943
2020-01-02 21:00:00,36.13206774960338,64.89247732438066,21.996128020733842,5.554551837131745,94.04522568453345,910.9691709519863,2.8060784284864138,192.50090959347725,-75.8806430670952
2020-01-02 22:00:00,48.176090332804506,86.52330309917421,29.32817069431179,5.699346329371872,92.48103101593698,910.9417372143416,3.040084953827027,191.67425479295707,-77.67259386069055
2020-01-02 23:00:00,60.22011291600563,108.15412887396776,36.66021336788974,5.844140821611999,90.9168363473405,910.9143034766971,3.2740914791676397,190.8475999924369,-68.82619085394745
2020-01-03 00:00:00,72.26413549920676,129.78495464876133,43.992256041467684,5.988935313852126,89.35264167874404,910.8868697390525,3.508098004508253,190.02094519191672,-57.08185241171384
2020-01-03 01:00:00,84.30815808240789,151.41578042355488,51.324298715045636,6.133729806092254,87.78844701014756,910.859436001408,3.7421045298488655,189.19429039139655,-44.76094453676518
2020-01-03 02:00:00,96.35218066560901,173.04660619834843,58.65634138862358,6.278524298332381,86.2242523415511,910.8320022637633,3.9761110551894783,188.36763559087638,-32.398541559777684
2020-01-03 03:00:00,108.39620324881014,194.67743197314198,65.98838406220153,6.423318790572508,84.66005767295462,910.8045685261187,4.210117580530092,187.5409807903562,-20.23506567020383
2020-01-03 04:00:00,120.44022583201127,216.30825774793553,73.32042673577948,6.568113282812635,83.09586300435815,910.7771347884742,4.444124105870705,186.71432598983603,-8.46951886481107
2020-01-03 05:00:00,132.4842484152124,237.9390835227291,80.65246940935742,6.712907775052762,81.53166833576168,910.7497010508296,4.678130631211317,185.88767118931585,2.879664851709211
2020-01-03 06:00:00,283.8532950040868,616.0670152211338,112.0426387476886,7.359889494233053,78.68635991692993,910.8880531143752,4.561592491932246,188.30689632068209,12.896458932095424
2020-01-03 07:00:00,373.35705679858825,528.2689089136636,165.95398657007095,8.229715,73.81247166666667,911.18785,5.256218666666667,190.81336666666667,21.614559226657065
2020-01-03 08:00:00,364.1530552896408,277.13929588720816,224.37957373460995,8.080806833333334,76.13533166666666,910.8913950819672,6.887443333333334,198.53591666666668,28.28649928883829
2020-01-03 09:00:00,370.3060833333333,256.12898221003377,240.2854636020616,8.5283505,73.45036166666667,910.20455,5.248893833333333,188.37031666666664,32.16545577599094
2020-01-03 10:00:00,371.5433152529915,235.7546829483481,253.1670761975326,9.179730666666666,69.95546333333333,909.2113166666668,6.720739666666666,193.3660333333333,32.66913408207549
2020-01-03 11:00:00,349.00481884794715,140.71579554354471,299.7768574666008,9.490459166666666,65.40828333333333,908.98905,7.946825166666667,199.30895,29.711507665877956
2020-01-03 12:00:00,81.14390833333333,2.812897672477015,80.522957123414,8.644649333333332,68.95129666666666,909.0976166666668,7.189725,196.48998333333333,23.762207006639354
2020-01-03 13:00:00,87.47929500000001,6.427757521830466,93.42549450411909,7.718617166666666,73.89384666666666,909.5133,8.2997655,198.46518333333333,15.554260226131419
2020-01-03 14:00:00,8.116966166666666,8.538583908705252,8.229838657006946,6.881644333333333,78.67319,909.7584833333332,6.3583915,196.06458333333333,5.813428462756333
2020-01-03 15:00:00,0.0,0.0,0.0,6.3674065,79.44296166666666,909.8577,6.4678705,201.16021666666663,-5.212664285814503
2020-01-03 16:00:00,0.0,0.0,0.0,5.3851700000000005,85.46079333333334,909.5502833333334,6.886437166666667,195.81313333333333,-16.824047910134446
2020-01-03 17:00:00,0.0,0.0,0.0,4.948946500000001,86.27033499999999,909.7861833333334,8.168921333333333,195.83733333333333,-28.894130091253217
2020-01-03 18:00:00,0.0,0.0,0.0,5.595240833333333,75.17055666666667,909.3715333333332,8.1773075,197.54048333333333,-41.21843557972814
2020-01-03 19:00:00,0.0,0.0,0.0,5.305864333333333,79.45971833333333,909.1667833333332,8.676534333333333,194.14366666666663,-53.57922331087925
2020-01-03 20:00:00,0.0,0.0,0.0,4.719149333333333,83.46804166666668,909.37385,6.0909085,190.9388833333333,-65.57514938240895
2020-01-03 21:00:00,0.0,0.0,0.0,5.149629,75.83544,908.82525,7.032576333333334,188.24186666666668,-75.74230084595456
2020-01-03 22:00:00,0.0,0.0,0.0,3.7040661666666654,84.34908166666668,908.4236833333332,5.948699333333334,189.7628,-77.62255772644357
2020-01-03 23:00:00,0.0,0.0,0.0,3.8494071666666665,84.14730166666666,907.97,7.495093,188.55555,-68.85345809562068
2020-01-04 00:00:00,0.0,0.0,0.0,4.398269117769282,81.75166317403094,907.5603099781696,8.256086504400503,195.6803341663595,-57.13029620620688
2020-01-04 01:00:00,22.564864444444442,0.711922819632531,22.216703857482884,4.186614987029958,83.151184867248,907.3577888706968,8.664406184222642,195.998218749744,-44.81385766686665
2020-01-04 02:00:00,45.129728888888884,1.423845639265062,44.43340771496577,3.9749608562906324,84.55070656046506,907.1552677632242,9.07272586404478,196.31610333312855,-32.44923985195499
2020-01-04 03:00:00,67.69459333333333,2.135768458897593,66.65011157244865,3.763306725551308,85.95022825368213,906.9527466557515,9.48104554386692,196.63398791651306,-20.279474400823876
2020-01-04 04:00:00,90.25945777777777,2.847691278530124,88.86681542993153,3.551652594811983,87.3497499468992,906.7502255482788,9.889365223689056,196.95187249989758,-8.504121549838931
2020-01-04 05:00:00,112.82432222222221,3.559614098162655,111.08351928741442,3.339998464072658,88.74927164011625,906.547704440806,10.297684903511195,197.26975708328212,2.8596196992617138
2020-01-04 06:00:00,135.38918666666666,4.271536917795186,133.3002231448973,3.128344333333333,90.14879333333332,906.3451833333334,10.706004583333334,197.58764166666663,12.89356543877724
2020-01-04 07:00:00,151.14725679548522,2.5048085198472023,150.5387555143265,3.4851758333333334,89.7038423631575,906.5741650201636,10.825033812322376,198.21193677122437,21.634932374689296
2020-01-04 08:00:00,224.64968902792745,4.552894961994918,224.90736990999235,3.8535006666666662,88.19651625220054,906.6412047610652,10.328418193449748,202.16680278917457,28.33524229487653
2020-01-04 09:00:00,276.428,4.515567457657473,283.489831460933,4.224918833333333,88.87545333333334,906.1393833333332,10.9299535,201.47088333333332,32.24514569081143
2020-01-04 10:00:00,403.65206666666666,176.74331491422728,314.45074817543014,4.782456666666667,88.04694500000001,905.4135666666666,9.651698166666668,199.49596666666667,32.777070593686716
2020-01-04 11:00:00,240.5533166666667,116.03351363836836,183.397846266656,4.8777463333333335,88.08505333333332,904.7126666666668,10.856755666666666,198.63946666666664,29.83989585410556
2020-01-04 12:00:00,121.52157833333334,2.555098239240716,123.39038201825356,5.317946333333333,87.804735,905.00545,9.736782666666668,201.03276666666667,23.902014385417306
2020-01-04 13:00:00,90.83541,67.9752552778147,81.19302315698378,6.138162333333333,81.36407666666668,904.9349833333332,9.491236,194.5849,15.698480352827694
2020-01-04 14:00:00,10.228244166666666,9.613535251107098,9.209800922520955,5.1626433333333335,89.90932,905.4000833333332,7.442264666666667,198.30391666666668,5.956229457714889
2020-01-04 15:00:00,0.0,0.0,0.0,6.456478000000001,82.02243666666666,905.5044833333334,8.556425999999998,192.05836666666667,-5.068550890521119
2020-01-04 16:00:00,0.0,0.0,0.0,6.178863179432185,84.37195762424435,906.48575,5.828944392383108,197.45958333257252,-16.681874421218513
2020-01-04 17:00:00,17.67924261833489,32.01449363861289,9.105637901372223,6.344640202329886,83.13060767489355,906.4497801517905,6.018724007212886,196.7636892850078,-28.753750615897545
2020-01-04 18:00:00,35.35848523666978,64.02898727722578,18.211275802744446,6.510417225227587,81.88925772554278,906.4138103035809,6.208503622042664,196.0677952374431,-41.07900104787586
2020-01-04 19:00:00,53.03772785500467,96.04348091583867,27.31691370411667,6.676194248125289,80.64790777619199,906.3778404553714,6.398283236872442,195.3719011898784,-53.43896524297544
2020-01-04 20:00:00,70.71697047333956,128.05797455445156,36.42255160548889,6.84197127102299,79.4065578268412,906.3418706071618,6.58806285170222,194.6760071423137,-65.43109722656318
2020-01-04 21:00:00,88.39621309167444,160.07246819306445,45.52818950686111,7.007748293920691,78.1652078774904,906.3059007589522,6.777842466531998,193.980113094749,-75.59849554366647
2020-01-04 22:00:00,106.07545571000934,192.08696183167734,54.63382740823334,7.173525316818392,76.92385792813963,906.2699309107427,6.967622081361776,193.28421904718428,-77.56361318023613
2020-01-04 23:00:00,123.75469832834423,224.10145547029023,63.73946530960556,7.3393023397160935,75.68250797878883,906.2339610625331,7.157401696191554,192.5883249996196,-68.87416369584167
2020-01-05 00:00:00,141.43394094667912,256.1159491089031,72.84510321097778,7.505079362613794,74.44115802943804,906.1979912143236,7.347181311021332,191.8924309520549,-57.17344958475151
2020-01-05 01:00:00,159.113183565014,288.130442747516,81.95074111235,7.670856385511495,73.19980808008725,906.162021366114,7.53696092585111,191.1965369044902,-44.86188058291013
2020-01-05 02:00:00,176.79242618334888,320.1449363861289,91.05637901372222,7.836633408409196,71.95845813073647,906.1260515179044,7.726740540680888,190.50064285692548,-32.49506922602857
2020-01-05 03:00:00,194.4716688016838,352.1594300247418,100.16201691509445,8.002410431306897,70.71710818138568,906.0900816696949,7.916520155510666,189.80474880936077,-20.318831850224914
2020-01-05 04:00:00,212.15091142001867,384.1739236633547,109.26765481646667,8.168187454204599,69.47575823203489,906.0541118214853,8.106299770340444,189.10885476179607,-8.533355334128235
2020-01-05 05:00:00,229.83015403835356,416.18841730196755,118.3732927178389,8.333964477102299,68.23440828268411,906.0181419732758,8.296079385170222,188.41296071423136,2.845104042512462
2020-01-05 06:00:00,247.50939665668844,448.20291094058047,127.47893061921113,8.4997415,66.99305833333332,905.9821721250662,8.485859,187.71706666666665,12.896925885746974
2020-01-05 07:00:00,245.4689248805843,220.7429945323366,153.41628239893353,9.155195833333332,68.0693215505993,906.0805317023212,9.721860044302838,197.5066074822648,21.66209572595388
2020-01-05 08:00:00,294.8059094518695,242.28666792190745,176.78179166595137,9.347939833333331,67.85725178273404,906.0264349643452,8.42015562236383,194.13880042630336,28.391218684288997
2020-01-05 09:00:00,614.28415,935.4682152564689,117.21049946854193,10.184394666666666,65.61572333333334,905.54235,8.898085833333333,194.44345,32.332256292218425
2020-01-05 10:00:00,592.02955,970.0460339495244,92.53369136060536,10.489578333333332,66.12473666666666,905.30515,9.227800166666666,197.6189833333333,32.89218968206932
2020-01-05 11:00:00,492.2887547603438,885.8506042805498,102.8142270763843,11.22763,60.43729333333333,905.4345333333332,7.674355333333334,201.1165333333333,29.97479180522244
2020-01-05 12:00:00,285.8549730796345,679.6834375217807,71.96383625120968,10.780928333333332,63.38944,905.5882833333332,9.713044833333331,195.0748,24.04740414834174
2020-01-05 13:00:00,107.07785794643029,432.3085914001536,47.958329883997855,9.823272166666667,65.65661833333334,906.1304666666668,10.5388665,188.52821666666665,15.847329239825271
2020-01-05 14:00:00,12.265827833333333,26.51617227430576,9.114675211806643,9.538274166666667,63.038291666666666,906.7963666666668,7.994224833333333,179.33881666666667,6.102847065688991
2020-01-05 15:00:00,0.0,0.0,0.0,9.553430666666666,62.574295,907.3884,7.7712595,184.41645,-4.921346453950087
2020-01-05 16:00:00,0.0,0.0,0.0,8.984816666666665,67.854455,908.1941,5.370620933333333,191.86456201666667,-16.537145130193966
2020-01-05 17:00:00,0.0,0.0,0.0,6.9643215,84.29417833333333,908.9593166666668,1.5220200499999998,122.56517883333332,-28.61118213931153
2020-01-05 18:00:00,0.0,0.0,0.0,7.809908666666667,77.17225166666667,908.96755,4.090524,198.03501666666668,-40.93754372347883
2020-01-05 19:00:00,0.0,0.0,0.0,7.025211666666666,82.86204,909.0952166666666,5.0011815,195.33803333333333,-53.296548200962
2020-01-05 20:00:00,0.0,0.0,0.0,6.632828833333334,86.31618666666667,909.14235,6.500855666666666,193.30893333333333,-65.28413723594946
2020-01-05 21:00:00,0.0,0.0,0.0,6.516369999999999,87.10560833333334,908.9547666666666,7.009240833333333,199.0592,-75.44935604440252
2020-01-05 22:00:00,0.0,0.0,0.0,6.58453,88.87108833333333,908.9571333333332,7.251904,192.84026666666665,-77.49575156722193
2020-01-05 23:00:00,0.0,0.0,0.0,6.408849833333334,91.75256166666668,909.5278833333334,5.4080545,187.83128333333332,-68.88815914637765
2020-01-06 00:00:00,0.0,0.0,0.0,6.443186,92.504085,909.1704166666666,6.5872515,189.74748333333332,-57.211182438480506
2020-01-06 01:00:00,0.0,0.0,0.0,6.434837,93.93639333333334,908.8529166666668,7.564667333333333,196.16825,-44.90490436733079
2020-01-06 02:00:00,0.0,0.0,0.0,6.254517666666667,94.23347666666668,908.77825,6.427495333333334,194.58406666666667,-32.53593863843103
2020-01-06 03:00:00,0.0,0.0,0.0,6.127676333333333,91.94807333333333,908.80735,6.437243666666666,195.99895,-20.3530634481553
2020-01-06 04:00:00,1.6584111666666668,0.1886434736558382,1.8194705207096744,6.4352385,89.43632833333332,909.6872,4.763445833333334,173.83738333333335,-8.557162125403746
2020-01-06 05:00:00,71.13326390007633,137.33333895439546,44.69924613204268,7.304699833333333,83.64438833333334,910.1221,5.481800166666667,179.17688333333334,2.8361523953531487
2020-01-06 06:00:00,204.60657475840117,451.79101919491393,87.44750759089838,7.362624666666666,88.13539999999999,910.6863833333332,7.0020991666666665,188.75511666666668,12.906562543055875
2020-01-06 07:00:00,387.86110321306165,657.7436591096224,109.98747623165076,7.990914166666666,85.15915166666667,910.9804833333332,6.508908166666667,190.3720833333333,21.696052465911464
2020-01-06 08:00:00,538.8458333333333,879.6379489118642,98.06327744491638,9.200035000000002,74.942105,910.5383666666664,7.109337333333333,194.9679833333333,28.454412598579324
2020-01-06 09:00:00,587.6124666666667,920.7068348014355,94.17673460446672,10.1347335,67.92654166666667,910.0504833333332,6.831019833333333,200.85493333333332,32.42675333242279
2020-01-06 10:00:00,559.8630333333333,874.0261593381651,108.1400317320671,10.532631666666669,61.65173,909.5193166666668,7.404173666666667,214.67996666666667,33.014438366687116
2020-01-06 11:00:00,380.34133,442.559235673945,175.10757583894963,8.725982666666665,78.43507720299243,909.8618166666668,4.738137166666666,177.2295015,30.116123358359637
2020-01-06 12:00:00,142.91698666666667,6.607679173168363,141.7417955973668,6.036468833333333,97.55295166666666,910.3021166666666,4.0330691666666665,86.76959091666667,24.198287661155515
2020-01-06 13:00:00,36.84562833333334,5.684120342613449,37.33159679928822,5.159239166666667,98.90014166666668,910.4339166666668,3.013716333333333,71.25354493333333,16.000707746453003
2020-01-06 14:00:00,6.329155166666666,11.733530159884412,5.6277330722552765,4.780715333333333,99.6796,910.3589,2.3305388333333337,54.90857435,6.253180052132067
2020-01-06 15:00:00,0.0,0.0,0.0,4.458051833333333,99.96768,910.5682833333334,1.5799453666666667,128.38220766666666,-4.771156482190318
2020-01-06 16:00:00,0.0,0.0,0.0,4.3639695,99.81299166666666,910.89375,0.89112355,225.1746883333333,-16.389962553769458
2020-01-06 17:00:00,0.0,0.0,0.0,4.108230833333334,99.09704333333336,911.0402166666668,1.3937594666666666,190.44456,-28.466521767008594
2020-01-06 18:00:00,0.0,0.0,0.0,3.756224333333333,98.959155,911.04435,1.0307497166666666,195.78948333333332,-40.79415354096073
2020-01-06 19:00:00,0.0,0.0,0.0,3.943935,93.74486,910.6518166666666,1.7376789166666666,100.6386321,-53.15205434632709
2020-01-06 20:00:00,0.0,0.0,0.0,3.072137333333333,95.197645,910.3184166666666,1.3366607833333333,170.12462383333337,-65.13434949974742
