datetime,GHI,DNI,DHI,Temperature,Humidity,Pressure,WindSpeed,WindDir_sin,WindDir_cos,SolarElevation,AirMass,GHI_clearsky,kt,hour_sin,hour_cos,doy_sin,doy_cos
2019-03-04 13:00:00,0.013857127933291927,0.00012754120785555967,0.015070875135312405,0.32245059984590835,0.606864573490224,0.5266619531686398,0.35170197720643454,0.3105073775678047,0.03745684366317778,0.6492737739821816,0.06622636852626683,0.3585243749861448,0.027696303743212598,0.37059047744873963,0.01703708685546579,0.9418669615636206,0.7340082908761664
2019-03-04 15:00:00,3.43012217153279e-05,5.7459584759954684e-08,5.621020408580407e-06,0.2814102735789312,0.6518111450445634,0.5722252745787331,0.2672335848807019,0.428736191146613,0.0051262193043619545,0.4988680600703356,0.0,0.0,0.0,0.14644660940672644,0.14644660940672605,0.9418669615636206,0.7340082908761664
2019-03-04 16:00:00,0.0,0.0,0.0,0.2913071234421629,0.5848079816756131,0.585775514885131,0.22271038397202036,0.49047340961483704,9.113884503198187e-05,0.42023093137513046,0.0,0.0,0.0,0.06698729810778076,0.24999999999999978,0.9418669615636206,0.7340082908761664
2019-03-04 17:00:00,0.0,0.0,0.0,0.28206563872939366,0.6609499973537182,0.5932781935302395,0.31326724634522596,0.40959721184266246,0.008275504280252425,0.3417990280579925,0.0,0.0,0.0,0.01703708685546579,0.37059047744873974,0.9418669615636206,0.7340082908761664
2019-03-04 18:00:00,0.0,0.0,0.0,0.27294664729410584,0.7377224531630829,0.5980595458449165,0.29266868682507585,0.39013461776740443,0.012271535664968173,0.2657199615233329,0.0,0.0,0.0,0.0,0.4999999999999999,0.9418669615636206,0.7340082908761664
2019-03-04 19:00:00,0.0,0.0,0.0,0.26153493200105704,0.7741171651740796,0.5931320645013266,0.2393661599377687,0.43064172766281,0.004854421045869464,0.19559492485171803,0.0,0.0,0.0,0.01703708685546579,0.6294095225512601,0.9418669615636206,0.7340082908761664
2019-03-04 20:00:00,0.0,0.0,0.0,0.2517410551818509,0.7544900535661588,0.584860696968568,0.23811839211457067,0.35475866545006124,0.021651306494683515,0.1387038948512354,0.0,0.0,0.0,0.0669872981077807,0.75,0.9418669615636206,0.7340082908761664
2019-03-04 21:00:00,0.0,0.0,0.0,0.2590486413907983,0.7614172971610466,0.580206594156901,0.24749904030059602,0.4529322247277067,0.0022297055022706216,0.10854141833557712,0.0,0.0,0.0,0.14644660940672616,0.8535533905932737,0.9418669615636206,0.7340082908761664
2019-03-04 22:00:00,0.0,0.0,0.0,0.250501432668853,0.7090139536454655,0.5700975894681332,0.16496680379868953,0.47352904484531977,0.000704163329145702,0.11792253869895397,0.0,0.0,0.0,0.24999999999999978,0.9330127018922192,0.9418669615636206,0.7340082908761664
2019-03-04 23:00:00,0.0,0.0,0.0,0.25897346942926514,0.5983064942280384,0.5639689917910653,0.15820405644487975,0.5314720626303566,0.0009956818092807618,0.16230222242640754,0.0,0.0,0.0,0.37059047744873924,0.982962913144534,0.9418669615636206,0.7340082908761664
2019-03-05 00:00:00,0.0,0.0,0.0,0.25677711528655595,0.5501664143803033,0.5733094538297033,0.11023297037220024,0.7101500855676869,0.04650398587403852,0.2265295244651056,0.0,0.0,0.0,0.5,1.0,0.9458269150348185,0.726372861717926
2019-03-05 01:00:00,0.0,0.0,0.0,0.2525957707164816,0.5416131223069648,0.5798665379342712,0.06093821598519263,0.9958241879297229,0.437362753415271,0.30003256978910736,0.0,0.0,0.0,0.6294095225512604,0.9829629131445342,0.9458269150348185,0.726372861717926
2019-03-05 02:00:00,0.0,0.0,0.0,0.2432887635950848,0.6000458213759162,0.5982130845293848,0.051043212601072946,0.8720922086823641,0.1667174473305129,0.3775861610849698,0.0,0.0,0.0,0.75,0.9330127018922194,0.9458269150348185,0.726372861717926
2019-03-05 03:00:00,0.0,0.0,0.0,0.2790984526802758,0.5602121669766464,0.6079031733246585,0.013999408311490755,0.5175898381435424,0.0003108085891260443,0.45644764556141526,0.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.9458269150348185,0.726372861717926
2019-03-05 07:00:00,0.5115849318031122,0.07175687264151369,0.42592316637893457,0.3714143985626398,0.5098149275874311,0.6244092356602995,0.12858758511571705,0.2874319788680221,0.047636472333446284,0.7438076444286551,0.04263710494126937,0.6263152002095153,0.585318251735441,0.9829629131445342,0.37059047744873974,0.9458269150348185,0.726372861717926
2019-03-05 08:00:00,0.4446121281356187,0.031055201017811358,0.5206261701211021,0.37812161940390504,0.45660138862603417,0.612119870485257,0.10081340041432335,0.5205076649198355,0.00042252458440791407,0.7907543425123884,0.03695101258360457,0.7435203005188721,0.428504856914983,0.9330127018922194,0.2500000000000001,0.9458269150348185,0.726372861717926
2019-03-05 09:00:00,0.37540190167616333,0.019962261700649086,0.45398836294515127,0.3607228006944704,0.5915161207142835,0.5977134886301195,0.2806507979085577,0.5859296074276561,0.007470822659141195,0.8138917116879905,0.0348653068641169,0.7962344125211966,0.3378491254968265,0.8535533905932737,0.14644660940672627,0.9458269150348185,0.726372861717926
2019-03-05 10:00:00,0.3786818626759782,0.08338601120133626,0.34907145807612744,0.3518246242750611,0.6676949107067153,0.6027743253551279,0.26964829896531906,0.25745261373609435,0.06303546454305253,0.8070030377282335,0.035446552722024224,0.7809130134375123,0.34748744581035446,0.75,0.06698729810778065,0.9458269150348185,0.726372861717926
2019-03-05 11:00:00,0.210023310654981,0.039782521598688766,0.1909900415814624,0.34714140764025364,0.6256688144818585,0.6074831038731767,0.23819720174691306,0.6340060756807956,0.01836988316481677,0.7721177381740785,0.03894079671247716,0.6985564950509133,0.2154434223959866,0.6294095225512605,0.0170370868554659,0.9458269150348185,0.726372861717926
2019-03-05 12:00:00,0.14280277323688717,0.007398245931468118,0.10605789219796734,0.34012881714686277,0.6745173076125317,0.6185989416916937,0.27462518706185823,0.9610779007040995,0.6963519969542448,0.7173829605051254,0.047058929371331465,0.5550254145439577,0.1843703354912357,0.5000000000000001,0.0,0.9458269150348185,0.726372861717926
2019-03-05 13:00:00,0.013288902607048866,0.00029732668924753556,0.022281812969618075,0.31145411270635853,0.6668326364488946,0.6436757543913918,0.23960199069361193,0.7758083693482728,0.9209405761988789,0.6506516166357607,0.06566082000268203,0.3621174941108059,0.026297041180722066,0.37059047744873963,0.01703708685546579,0.9458269150348185,0.726372861717926
2019-03-05 15:00:00,5.047570677407135e-06,1.879629237207862e-08,2.3687149287249965e-06,0.29623726340509615,0.6419395989757033,0.7071062415652765,0.07232160035900072,0.6505607218348907,0.023305609523142028,0.4999736583195739,0.0,0.0,0.0,0.14644660940672644,0.14644660940672605,0.9458269150348185,0.726372861717926
2019-03-05 16:00:00,0.0,0.0,0.0,0.26696106508341305,0.7529100273804898,0.7326351290079899,0.04141783766850657,0.5246306572004874,0.0006096126627320361,0.4213094194315501,0.0,0.0,0.0,0.06698729810778076,0.24999999999999978,0.9458269150348185,0.726372861717926
2019-03-05 17:00:00,0.0,0.0,0.0,0.2646907818690353,0.702122178767946,0.7428474841173771,0.052086368106851064,0.8564592549739376,0.1500105111049297,0.34292636658439446,0.0,0.0,0.0,0.01703708685546579,0.37059047744873974,0.9458269150348185,0.726372861717926
2019-03-05 18:00:00,0.0,0.0,0.0,0.26893710365371687,0.6457017491443304,0.7394590572307892,0.03792846960086093,0.9834960286750697,0.3741779664061429,0.2669914014398757,0.0,0.0,0.0,0.0,0.4999999999999999,0.9458269150348185,0.726372861717926
2019-03-05 19:00:00,0.0,0.0,0.0,0.2633332640085459,0.651399755069648,0.7438443155935175,0.07095391791628781,0.9195150215076037,0.22892488326702554,0.19714055418298418,0.0,0.0,0.0,0.01703708685546579,0.6294095225512601,0.9458269150348185,0.726372861717926
2019-03-05 20:00:00,0.0,0.0,0.0,0.2654097097796884,0.6366708080504406,0.7530838431954145,0.07227619963059888,0.8815650772789204,0.17762825194973084,0.14067127323855214,0.0,0.0,0.0,0.0669872981077807,0.75,0.9458269150348185,0.726372861717926
2019-03-05 21:00:00,0.0,0.0,0.0,0.265089272947364,0.599259543741046,0.7530458369117095,0.06812241180458088,0.9118906068024172,0.21746507707968732,0.1109211042633377,0.0,0.0,0.0,0.14644660940672616,0.8535533905932737,0.9458269150348185,0.726372861717926
2019-03-05 22:00:00,0.0,0.0,0.0,0.2586200426398912,0.5899553339504587,0.7463233921341624,0.09316991010536146,0.893720457174677,0.19261893838635655,0.1203565458520638,0.0,0.0,0.0,0.24999999999999978,0.9330127018922192,0.9458269150348185,0.726372861717926
2019-03-05 23:00:00,0.0,0.0,0.0,0.26112991765721205,0.5447300174455134,0.747496919490697,0.0899086313966011,0.9080751342842057,0.21197594839678144,0.16448514125502947,0.0,0.0,0.0,0.37059047744873924,0.982962913144534,0.9458269150348185,0.726372861717926
2019-03-06 00:00:00,0.0,0.0,0.0,0.25602015342102863,0.5421843753761126,0.7559803220799242,0.05210038907996479,0.9057775178844826,0.20874415906580973,0.22845585279641,0.0,0.0,0.0,0.5,1.0,0.9496549421753907,0.7186704443327449
2019-03-06 01:00:00,0.0,0.0,0.0,0.2541601153630547,0.5534574072465887,0.7622586934373166,0.0603088473001928,0.9626521294230443,0.3117044502815288,0.30179459870750525,0.0,0.0,0.0,0.6294095225512604,0.9829629131445342,0.9496549421753907,0.7186704443327449
2019-03-06 02:00:00,0.0,0.0,0.0,0.25463069024098317,0.5636960436602357,0.7752581760184315,0.051204286584231574,0.8853712580448881,0.18219659447018705,0.3792691407906351,0.0,0.0,0.0,0.75,0.9330127018922194,0.9496549421753907,0.7186704443327449
2019-03-06 03:00:00,0.0,0.0,0.0,0.30221427882583274,0.5015173149184347,0.7937418986605773,0.025804709694804622,0.9868874567192298,0.38788235659837306,0.4581196839960852,0.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.9496549421753907,0.7186704443327449
2019-03-06 15:00:00,0.00014269464643537638,9.106926393412703e-06,0.0,0.31090335999452823,0.42113459338659687,0.7664947271282134,0.5416746169599017,0.347929388844676,0.023786976811417636,0.5010744413618258,0.9503203734089952,2.7837485617455612e-05,0.0,0.14644660940672644,0.14644660940672605,0.9496549421753907,0.7186704443327449
2019-03-06 16:00:00,0.0,0.0,0.0,0.29133964826864966,0.43290966355413746,0.7857559116440622,0.41815846249875005,0.37250645000709615,0.01659785895996238,0.42238595919918653,0.0,0.0,0.0,0.06698729810778076,0.24999999999999978,0.9496549421753907,0.7186704443327449
2019-03-06 17:00:00,0.0,0.0,0.0,0.271834684057873,0.43226119893153636,0.7861193050584413,0.2578154984942158,0.37510442402399075,0.015917343399853023,0.34405525047424745,0.0,0.0,0.0,0.01703708685546579,0.37059047744873974,0.9496549421753907,0.7186704443327449
2019-03-06 18:00:00,0.0,0.0,0.0,0.2601821721974725,0.45878434674038215,0.7600523286516709,0.37854796732503343,0.35407784103568296,0.021859394455514512,0.268268428428199,0.0,0.0,0.0,0.0,0.4999999999999999,0.9496549421753907,0.7186704443327449
2019-03-06 19:00:00,0.0,0.0,0.0,0.24919586836721197,0.47910841139127314,0.7588687996415457,0.37150285201872923,0.34486788110947125,0.024779468373158815,0.1986957118091342,0.0,0.0,0.0,0.01703708685546579,0.6294095225512601,0.9496549421753907,0.7186704443327449
2019-03-06 20:00:00,0.0,0.0,0.0,0.2531827349863908,0.4858292800002875,0.7410465196912529,0.3840793594872198,0.31355274473505723,0.036216087724424355,0.14264974946052636,0.0,0.0,0.0,0.0669872981077807,0.75,0.9496549421753907,0.7186704443327449
2019-03-06 21:00:00,0.0,0.0,0.0,0.2678880359821953,0.4544583237520802,0.7071169099957816,0.45139009914298867,0.31429941534222555,0.0359154426531021,0.11331028319052065,0.0,0.0,0.0,0.14644660940672616,0.8535533905932737,0.9496549421753907,0.7186704443327449
2019-03-06 22:00:00,0.0,0.0,0.0,0.23407052397281963,0.5857709138322637,0.6854853335751553,0.49095591498282204,0.3069798323248332,0.03892344549068517,0.12280325834652477,0.0,0.0,0.0,0.24999999999999978,0.9330127018922192,0.9496549421753907,0.7186704443327449
2019-03-06 23:00:00,0.0,0.0,0.0,0.2317993562478634,0.5967059411568575,0.6584061898233923,0.5333337647200053,0.3160508610097686,0.03521571226753291,0.16668669158226213,0.0,0.0,0.0,0.37059047744873924,0.982962913144534,0.9496549421753907,0.7186704443327449
2019-03-07 00:00:00,0.0,0.0,0.0,0.26452523351412865,0.5110100021365912,0.6323475960130222,0.6010309398315101,0.3072581352180967,0.03880658624147957,0.23040262638990233,0.0,0.0,0.0,0.5,1.0,0.9533499102105193,0.7109033179898465
2019-03-07 01:00:00,0.0,0.0,0.0,0.2521055879165485,0.5484264888338195,0.6465835684833255,0.5543082287859578,0.30094569971894974,0.04150616089574978,0.30357606219189076,0.0,0.0,0.0,0.6294095225512604,0.9829629131445342,0.9533499102105193,0.7109033179898465
2019-03-07 02:00:00,0.0,0.0,0.0,0.28433130876359924,0.4782771269279221,0.6532420026777782,0.6178925760546935,0.33439056533104855,0.028342723482803315,0.380969602914367,0.0,0.0,0.0,0.75,0.9330127018922194,0.9533499102105193,0.7109033179898465
2019-03-07 03:00:00,0.0,0.0,0.0,0.30564247026343105,0.45952095729096226,0.6801411166646244,0.5551306819764709,0.3545546515621941,0.0217135499732841,0.4598070879259832,0.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.9533499102105193,0.7109033179898465
2019-03-07 04:00:00,0.4601900969770623,0.08853804167353045,0.39880905060424093,0.3368562233201634,0.4315808197166204,0.7095653147987084,0.4371748932739404,0.3570081768838303,0.020971311393668278,0.5381952814365096,0.23493172130707418,0.04064297258704985,1.0,0.9330127018922193,0.75,0.9533499102105193,0.7109033179898465
2019-03-07 08:00:00,0.691579711400105,0.16845880471684632,0.3220599054213005,0.4150135262445821,0.3932089261785432,0.6365079026399064,0.30774984706164327,0.06715235510922715,0.25077360593570286,0.7955751177746788,0.03648396124506321,0.7532026093203585,0.6579572889546853,0.9330127018922194,0.2500000000000001,0.9533499102105193,0.7109033179898465
2019-03-07 09:00:00,0.24307662043332054,0.04466684188133827,0.24656337983080734,0.3921841557124448,0.40076214911508273,0.6205239266225421,0.2361266689747666,0.05343873257518496,0.27626017953963267,0.8188521172930138,0.034465893043252885,0.8054106101198363,0.21626842495302792,0.8535533905932737,0.14644660940672627,0.9533499102105193,0.7109033179898465
2019-03-07 10:00:00,0.23820145851123656,0.06474573786246735,0.2154921556056703,0.39277254587440713,0.34919279192322467,0.6255231627201893,0.10350497864626909,0.35859554865209314,0.020498426078124937,0.8116104399601567,0.03505429839167734,0.7895601794248126,0.21618544622981606,0.75,0.06698729810778065,0.9533499102105193,0.7109033179898465
2019-03-07 11:00:00,0.2707602465050829,0.09761021660253197,0.20933321502597854,0.40325761814759503,0.301039202773629,0.6266349369762436,0.1778278742165642,0.2104910359786759,0.09273431322690728,0.7760451313736646,0.03849549101549059,0.706675348054463,0.2745568184510876,0.6294095225512605,0.0170370868554659,0.9533499102105193,0.7109033179898465
